Species	byUser	byPost	meanLikes	medianLikes	maxLikes	meanComments	medianComments	maxComments	genus	sub.family	status
Atta_laevigata	4	13	90.23	48	452	4	3	12	Atta	Myrmicinae	native
Camponotus_conspicuus	4	6	45.33	46.5	66	0.83	0.5	3	Camponotus	Formicinae	native
Camponotus_discolor	4	4	39.5	38	65	0.5	0	2	Camponotus	Formicinae	native
Camponotus_mus	4	7	40.57	41	63	1.29	1	4	Camponotus	Formicinae	native
Camponotus_rosariensis	4	7	50.57	31	173	1.86	0	7	Camponotus	Formicinae	native
Camponotus_rufipes	4	15	84.2	81	164	1.53	1	6	Camponotus	Formicinae	native
Camponotus_sayi	4	21	86.1	88	164	1.33	0	9	Camponotus	Formicinae	native
Camponotus_subbarbatus	4	5	82	84	155	6.8	5	18	Camponotus	Formicinae	native
Camponotus_variegatus	4	6	89.17	79	229	5.67	4	15	Camponotus	Formicinae	alien
Cataglyphis_bombycina	4	6	154.17	47.5	488	1.83	1	6	Cataglyphis	Formicinae	native
Cataglyphis_rosenhaueri	4	11	87.18	76	312	3.27	2	14	Cataglyphis	Formicinae	native
Cataglyphis_viaticoides	4	17	81.06	75	190	1	0	8	Cataglyphis	Formicinae	native
Colobopsis_macrocephala	4	11	133.91	132	219	3	2	13	Colobopsis	Formicinae	native
Crematogaster_laeviuscula	4	77	94.53	90	176	2.78	2	12	Crematogaster	Myrmicinae	native
Crematogaster_pinicola	4	11	72	68	140	1.45	1	4	Crematogaster	Myrmicinae	native
Crematogaster_schmidti	4	6	65.33	68	96	0.67	0	2	Crematogaster	Myrmicinae	native
Formica_montana	4	7	63.43	67	115	0.71	0	2	Formica	Formicinae	native
Formica_obscuriventris	4	11	55.82	58	75	1.45	1	6	Formica	Formicinae	native
Formica_pacifica	4	6	80	82	117	1.5	2	3	Formica	Formicinae	native
Iberoformica_subrufa	4	14	83.14	50.5	314	3	1.5	12	Iberoformica	Formicinae	native
Iridomyrmex_anceps	4	26	51.23	44	250	1.19	0	10	Iridomyrmex	Dolichoderinae	alien
Lasius_brevicornis	4	4	67.5	61.5	118	2.5	2.5	4	Lasius	Formicinae	native
Lasius_lasioides	4	12	102.83	100.5	179	5.25	3.5	15	Lasius	Formicinae	native
Lasius_murphyi	4	4	61.25	51	123	3.25	0.5	12	Lasius	Formicinae	native
Lasius_subumbratus	4	6	53	52	74	1	0	4	Lasius	Formicinae	native
Leptothorax_acervorum	4	7	61.43	55	104	1.43	2	3	Leptothorax	Myrmicinae	native
Liometopum_apiculatum	4	6	63.33	61.5	99	0.5	0	2	Liometopum	Dolichoderinae	native
Manica_invidia	4	4	113.25	118.5	146	4	4.5	7	Manica	Myrmicinae	native
Messor_orientalis	4	47	25.32	23	141	0.21	0	3	Messor	Myrmicinae	native
Myrmecia_brevinoda	4	12	98.5	85.5	208	9.33	5	53	Myrmecia	Myrmeciinae	alien
